ticker,accession,band,verdict,impact,items,entry,cap,binary,ceiling,pre_vol,prior_dollars,6% target / 10% stop,no target / 10% stop,trail 15%,trail 20%,r_vol,r_illiq,r_cheap,r_binary,score
MNSB,0001437749-26-023920,micro,neutral,low,8.01,24.170000076293945,142790332.29122162,False,-0.00703351575330291,0.08362261419658581,7079824.602772598,-0.028547808517980666,-0.028547808517980666,-0.028547808517980666,-0.028547808517980666,0.625,0.7625,0.625,0.0,0.503125
MSIF,0001535778-26-000074,small,neutral,low,"2.02,9.01",11.489999771118164,573081296.7805767,True,0.029590962520515518,0.045592223272848655,12144352.833536185,-0.015230652238545028,-0.015230652238545028,-0.015230652238545028,-0.015230652238545028,0.3375,0.6875,0.7875,1.0,0.703125
NGS,0001084991-26-000064,small,neutral,low,4.01,40.099998474121094,361971189.69522095,True,0.05461352929525898,0.08647601426774004,21980939.82095123,-0.1059850414394099,-0.1059850414394099,-0.1059850414394099,-0.10623437615047371,0.6625,0.5875,0.4125,1.0,0.665625
NGS,0001084991-26-000070,small,neutral,low,"1.01,3.03,5.03,8.01,9.01",36.150001525878906,361971189.69522095,True,0.04204693164337159,0.08830853229054964,67982391.97451125,-0.008575417986333767,-0.008575417986333767,-0.008575417986333767,-0.008575417986333767,0.675,0.4125,0.5125,1.0,0.6499999999999999
OSBC,0000357173-26-000039,small,neutral,low,8.01,23.5,947707434.0,False,0.09212769853307856,0.029265152870021193,76513514.08013305,0.06000000000000005,0.08382975801508485,0.08382975801508485,0.08382975801508485,0.2375,0.3875,0.6375,0.0,0.315625
OSBC,0000357173-26-000037,small,neutral,low,5.02,22.6299991607666,947707434.0,False,0.13411409046901301,0.023963707605730664,22158728.451523207,0.06000000000000005,0.1254971391033708,0.1254971391033708,0.1254971391033708,0.1375,0.575,0.7125,0.0,0.35624999999999996
PEBO,0000318300-26-000187,small,neutral,low,"2.02,9.01",40.56999969482422,1055857854.4073582,False,0.042395889416843024,0.030762094753155188,122455439.11127731,0.03475474138571388,0.03475474138571388,0.03475474138571388,0.03475474138571388,0.2625,0.3,0.3875,0.0,0.2375
PLCE,0001104659-26-084657,micro,neutral,low,"5.02,9.01",2.994999885559082,165815810.14281893,False,-0.0033388951069659445,0.08427519900451398,7674787.432439107,-0.10183634056523116,-0.10183634056523116,-0.15525874188222522,-0.2053421684867146,0.65,0.75,0.9375,0.0,0.584375
PROF,0001171843-26-004654,micro,neutral,low,"7.01,9.01",7.159999847412109,194443822.43459988,True,0.08659223123033044,0.11427758751674322,6279289.73324194,0.06000000000000005,0.02234641447752228,0.02234641447752228,0.02234641447752228,0.725,0.825,0.8,1.0,0.8374999999999999
PVLA,0001193125-26-303307,small,neutral,low,"8.01,9.01",146.77000427246094,869621428.5737228,True,0.07705932567527962,0.08374058734945744,214867424.02680784,0.06000000000000005,-0.10158753987927083,-0.08571234901445812,-0.13926553005654907,0.6375,0.1875,0.075,1.0,0.475
