ticker,p_pre,p_first,gap,gap_min,up10_hit,up10_min,up10_gap_share,up10_in_gap,dn10_hit,dn10_min,up20_hit,up20_min,up20_gap_share,up20_in_gap,dn20_hit,dn20_min,up50_hit,up50_min,up50_gap_share,up50_in_gap,dn50_hit,dn50_min
AEO,16.545000076293945,16.600000381469727,0.0033242855800639237,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,17.600000381469727,17.625,0.0014204328402511734,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,17.34000015258789,17.350000381469727,0.0005767144633124222,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,16.239999771118164,16.239999771118164,0.0,0.0,True,4131.0,0.0,False,False,,False,,,False,False,,False,,,False,False,
AEO,17.540000915527344,17.55500030517578,0.000855153299060607,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,15.904999732971191,15.90999984741211,0.00031437375195619843,0.0,True,1687.0,0.0031437375195619843,False,False,,False,,,False,False,,False,,,False,False,
AEO,17.420000076293945,17.424999237060547,0.00028697822874312884,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,17.34000015258789,17.389999389648438,0.0028834623195250764,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,16.0049991607666,16.010000228881836,0.0003124691269895674,0.0,True,2725.0,0.003124691269895674,False,False,,False,,,False,False,,False,,,False,False,
AEO,17.565000534057617,17.584999084472656,0.00113854539180136,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,16.05500030517578,16.05500030517578,0.0,0.0,True,2714.0,0.0,False,False,,False,,,False,False,,False,,,False,False,
AEO,17.014999389648438,17.024999618530273,0.0005877301933916446,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,17.209999084472656,17.219999313354492,0.0005810708549576216,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,17.41,17.424999237060547,0.0008615299862462233,1025.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,17.30500030517578,17.315000534057617,0.0005778808844543182,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,17.235000610351562,17.229999542236328,-0.000290169303053589,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,16.325000762939453,16.325000762939453,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEON,0.2854999899864197,0.2861500084400177,0.0022767722465733,0.0,False,,,False,True,4105.0,False,,,False,True,9802.0,False,,,False,False,
AEON,0.2937999963760376,0.30070000886917114,0.023485407005594983,0.0,False,,,False,True,8436.0,False,,,False,True,14205.0,False,,,False,False,
AEON,0.29190000891685486,0.2944999933242798,0.008907106296682343,0.0,False,,,False,True,4028.0,False,,,False,True,9791.0,False,,,False,False,
AEON,0.2949,0.27900001406669617,-0.053916534192281595,53.0,False,,,False,True,3293.0,False,,,False,True,10165.0,False,,,False,False,
AEON,0.2974,0.2773999869823456,-0.06724953940031753,326.0,False,,,False,True,7872.0,False,,,False,True,14758.0,False,,,False,False,
AEON,0.28540000319480896,0.28540000319480896,0.0,0.0,False,,,False,True,4188.0,False,,,False,True,9885.0,False,,,False,False,
AEON,0.2974,0.2773999869823456,-0.06724953940031753,242.0,False,,,False,True,7788.0,False,,,False,True,14674.0,False,,,False,False,
AES,14.800000190734863,14.800000190734863,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AGCO,114.62999725341797,114.5,-0.0011340596399961322,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AGCO,117.27,118.24500274658203,0.008314170261635834,208.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AGCO,113.28500366210938,113.41000366210938,0.0011034117134589572,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AGCO,113.62999725341797,113.61499786376953,-0.0001320020242100428,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AGCO,123.41000366210938,123.47000122070312,0.00048616446652105516,0.0,False,,,False,True,2737.0,False,,,False,False,,False,,,False,False,
AGCO,117.28,118.0999984741211,0.006991801450555002,54.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
