ticker,et,items,p_pre,entry,baseline_usd_per_min,gate_usd,rvol,entry_lag_min,moved_at_entry,r15m,r60m,r1d,r5d,fwd_up,fwd_dn
TTRX,2026-07-28 08:05:26-04:00,"7.01,9.01",7.739999771118164,7.809999942779541,7963.999938964844,0.0,0.0,84.56666666666666,0.009043950094492548,0.031049914227312847,-0.03585143854323014,-0.03585143854323014,-0.03585143854323014,0.047375206799881164,-0.08194620629636307
TTRX,2026-07-07 08:05:25-04:00,"7.01,9.01",7.760000228881836,7.940000057220459,4038.84970498085,0.0,0.0,84.58333333333333,0.023195853483184647,0.03274556047493227,0.07628463622880188,0.1536523654155657,-0.05163726000722946,0.4722796365251736,-0.09697732687373128
TVRD,2026-07-17 16:07:52-04:00,"8.01,9.01",3.2200000286102295,3.1607000827789307,14957.267822027206,0.0,0.0,3922.133333333333,-0.018416132082114567,-0.07931786958028086,-0.09830106305853303,-0.09311230791848824,-0.25174804707904996,-0.00022146895621510954,-0.2818046883680597
TVRD,2026-07-07 07:02:35-04:00,"7.01,9.01",2.01,2.200000047683716,1516.758531332016,0.0,0.0,147.41666666666666,0.09452738690732132,0.024454484756329276,0.26368183951633983,0.390909060761949,0.7681818275412251,1.5863636063150146,-0.059090959828746126
TVTX,2026-07-09 17:10:23-04:00,5.02,58.439998626708984,58.48500061035156,94107.47696495056,0.0,0.0,979.6166666666667,0.0007700544952102817,-0.04120714409269499,-0.04505432348006311,-0.047448089200972765,-0.032486988220063684,-0.007608783280844467,-0.09378474058493458
TWIN,2026-07-06 16:31:22-04:00,"1.01,2.03,9.01",22.260000228881836,22.8700008392334,9283.049855232239,42332.37155342102,1.520059758146585,1018.6333333333333,0.027403441333306855,-0.04197643010901908,-0.037166609107051496,0.0,-0.011805878786872892,0.05815478246176742,-0.07958030325257559
TWO,2026-07-28 16:17:41-04:00,"2.02,9.01",12.1,12.140000343322754,11799.840148925781,0.0,0.0,1032.3166666666666,0.003305813497748389,-0.0023476570131628627,-0.0028830972072976246,-0.0028830972072976246,-0.0028830972072976246,-0.001647484118455722,-0.0032948896805450323
TWO,2026-07-06 16:08:43-04:00,"5.07,8.01,9.01",12.09,12.079999923706055,18911.237380504608,0.0,0.0,1041.2833333333333,-0.0008271361698879431,-0.00047186352857286895,-0.00041391676096835806,-0.0008278335219366051,0.0033112551411966784,0.004966922185069889,-0.0020695048582917153
TXNM,2026-07-21 16:20:34-04:00,"1.01,2.03,9.01",58.09,58.07500076293945,62626.96982383728,0.0,0.0,1029.4333333333334,-0.00025820686969446616,0.002668941493941146,0.003185493864199973,0.004218664290420726,-0.003271673506847428,0.008179052395711928,-0.0033577217780883517
TXNM,2026-07-17 17:45:04-04:00,"1.01,2.03,7.01",57.41,57.529998779296875,61045.400161743164,0.0,0.0,3824.9333333333334,0.0020902069203427853,0.003737183333041516,0.004780141347367373,0.005909962798578139,0.009907869058209284,0.017729888395734417,0.00034765267144187817
TXNM,2026-07-06 07:28:23-04:00,8.01,56.94,56.875,297855.50759124756,0.0,0.0,121.61666666666666,-0.0011415525114154557,0.0034285660628434744,0.00219780219780219,-0.004131868131868166,0.003780222463083849,0.006769201257726731,-0.010109903524210151
TXT,2026-07-28 06:34:22-04:00,"2.02,9.01",96.13,91.04000091552734,133292.04502868652,0.0,0.0,175.63333333333333,-0.05294912186073708,-0.011862937392287387,-0.027185835338661257,-0.011862927335967832,-0.0645869639091261,0.005052713970197242,-0.06711336279555624
TZOO,2026-07-28 14:23:40-04:00,"2.02,7.01,9.01",7.574999809265137,7.559999942779541,6579.823751449585,13200.262247085571,0.6687242062868048,1.3333333333333333,-0.0019801804439980586,0.011243391374381462,-0.019841282606185007,-0.06415345729964217,-0.06415345729964217,0.03306878331907548,-0.06415345729964217
U,2026-07-27 16:54:39-04:00,5.02,30.44,30.540000915527344,265662.0315694809,0.0,0.0,995.35,0.0032851811934080377,-0.018336652144836596,-0.016699417602916267,0.04125733617224747,0.054354937709517825,0.09102811709096748,-0.026522637492102707
U,2026-07-16 17:04:35-04:00,5.02,30.19,29.510000228881836,258709.99374389648,0.0,0.0,985.4166666666666,-0.022524006992983292,-0.01389359011291491,-0.013554714179188299,-0.01762115299385547,-0.012877026945710468,0.03947810908650928,-0.030159247127940825
UAL,2026-07-15 16:00:02-04:00,"2.02,7.01,9.01",116.39,117.68000030517578,677486.6050720215,0.0,0.0,1049.9666666666667,0.01108342903321402,-0.004843641173912783,0.006968046334957068,0.008922499083117819,-0.0032290725053750746,0.03772945640628933,-0.030931333958267748
UBSI,2026-07-23 08:00:07-04:00,"2.02,9.01",46.91,46.79999923706055,72004.22487258911,0.0,0.0,89.88333333333334,-0.002344932060103333,-0.00041448153657963616,-0.00897431999555931,0.019017081285412907,0.037179523650267665,0.05256408385845868,-0.01207262042563384
UCB,2026-07-21 07:35:58-04:00,"2.02,7.01,9.01",36.03,35.814998626708984,37249.98823928833,0.0,0.0,114.03333333333333,-0.005967287629503604,-0.018567559020766122,-0.02610631284225362,-0.24584668335412607,-0.010470473666871594,-0.0027920837066993665,-0.24584668335412607
UCB,2026-07-10 09:08:00-04:00,"8.01,9.01",35.26,35.41999816894531,35167.88946914673,0.0,0.0,22.0,0.00453766786572074,0.0009882457345824491,-0.0007057513403136983,0.0062112149089836866,0.033032242917177435,0.049689503873932006,-0.0067757729016471036
UCTT,2026-07-08 16:09:13-04:00,"5.02,9.01",100.91,115.62000274658203,280298.08392333984,0.0,0.0,1040.7833333333333,0.14577348871848206,-0.048607529952235495,-0.06642449509371606,-0.08156030550570803,-0.12298910986769973,-0.017791032327265532,-0.20304364136303665
UDR,2026-07-27 16:19:30-04:00,"2.02,9.01",39.27,39.08000183105469,105731.09561920166,0.0,0.0,1030.5,-0.0048382523286304435,0.0051176289373471295,0.007036788595109922,-0.0020471296649509085,-0.023541503084360205,0.017144271687646206,-0.026356257567410224
UEC,2026-07-23 16:41:05-04:00,"5.07,7.01,9.01",9.83,9.869999885559082,102573.68307495117,0.0,0.0,1008.9166666666666,0.004069164349855825,-0.02786217038691452,-0.03900711584051131,-0.036474152961825546,-0.07649444004002148,0.02532928094211817,-0.09311040350472899
