accession,ticker,items,et,chars,event_category,is_binding,transaction_value_usd,value_confidence,has_toxic_financing,toxic_signals,revenue,market_cap,shock,key,up20,dn20,fwd_up,fwd_dn,neg,lng
0001213900-26-077663,SOUN,9.01,2026-07-13 21:20:16+00:00,91664,MA_ACTIVITY,False,,NONE,True,convertible,168920000.0,69844000.0,,SOUN|2026-07-13 21:20:00+00:00,False,False,0.06366457201385001,-0.03105594477100304,True,False
0001005210-26-000004,SPH,"7.01,8.01,9.01",2026-07-22 20:27:41+00:00,6155,EARNINGS,False,,NONE,False,,1432518000.0,1193578630.0886917,,SPH|2026-07-22 20:27:00+00:00,False,False,0.009081200989824234,-0.03044870276344469,False,False
0001005210-26-000006,SPH,"7.01,8.01,9.01",2026-07-23 11:32:47+00:00,6319,ADMINISTRATIVE,False,,NONE,False,,1432518000.0,1193578630.0886917,,SPH|2026-07-23 11:32:00+00:00,False,False,0.009081200989824234,-0.03044870276344469,False,False
0001193125-26-316928,SPRB,5.02,2026-07-27 12:05:15+00:00,4566,ADMINISTRATIVE,False,,NONE,False,,0.0,65093285.963653564,,SPRB|2026-07-27 12:05:00+00:00,False,False,0.05722332261567997,-0.0542917134110229,False,False
0001493152-26-033473,SRXH,"3.01,9.01",2026-07-16 14:42:40+00:00,9064,ADMINISTRATIVE,False,,NONE,False,,6534000.0,419032267.54945374,,SRXH|2026-07-16 14:42:00+00:00,False,False,0.18045662273450636,-0.10045663144386074,True,False
0000088205-26-000045,SPXC,"5.02,9.01",2026-07-27 10:47:07+00:00,5028,ADMINISTRATIVE,False,,NONE,False,,2265100000.0,8902752426.61087,,SPXC|2026-07-27 10:47:00+00:00,False,False,-0.001119273211019567,-0.16819968137102714,False,False
0001493152-26-034950,SRXH,3.02,2026-07-28 13:57:16+00:00,5949,DILUTION_OFFERING,False,4528000.0,HIGH,True,"convertible,reverse_split",6534000.0,419032267.54945374,0.6929905111723293,SRXH|2026-07-28 13:57:00+00:00,False,False,0.11564622705849703,-0.027210938968575293,True,False
0001493152-26-034081,SRXH,"1.01,9.01",2026-07-21 20:07:22+00:00,4926,ADMINISTRATIVE,True,,NONE,True,convertible,6534000.0,419032267.54945374,,SRXH|2026-07-21 20:07:00+00:00,False,False,0.06185560928849254,-0.1597938416728627,True,False
0001437749-26-024660,SRBK,"2.02,9.01",2026-07-28 20:00:38+00:00,3734,ADMINISTRATIVE,False,,NONE,False,,,148021788.0,,SRBK|2026-07-28 20:00:00+00:00,False,False,0.0015360357522868906,-0.019969343742202272,False,False
0000034782-26-000044,SRCE,"2.02,9.01",2026-07-23 20:08:24+00:00,3383,ADMINISTRATIVE,False,,NONE,False,,,1412147839.0791779,,SRCE|2026-07-23 20:08:00+00:00,False,False,0.0644954985060806,-0.010720090564167117,False,False
