ticker,direction,move,move_date,last_close,median_dollars,n_filings,forms,has_8k,has_offering,has_merger,has_13d,has_insider,bearish_item,bullish_item,scheduled_item,no_filing
CAPR,down,-0.6446700645226003,2026-07-27,6.570000171661377,32411575.0,0,,False,False,False,False,False,False,False,False,True
CBUS,up,0.2133333683013916,2026-07-08,1.940000057220459,369097.99213409424,0,,False,False,False,False,False,False,False,False,True
CBUS,down,-0.22175735034970223,2026-07-14,1.940000057220459,369097.99213409424,0,,False,False,False,False,False,False,False,False,True
CBZ,up,0.3639751931895381,2026-07-23,54.900001525878906,30610100.0,0,,False,False,False,False,False,False,False,False,True
CDNA,up,0.35596639168362665,2026-07-16,35.40999984741211,24983721.457099915,2,144,False,False,False,False,True,False,False,False,False
CD,down,-0.2913752939662204,2026-07-06,2.8499999046325684,726671.0182905197,0,,False,False,False,False,False,False,False,False,True
CECO,down,-0.26888291471591974,2026-07-22,59.81999969482422,63121055.78613281,1,4,False,False,False,False,True,False,False,False,False
CDZI,down,-0.2272727223467237,2026-07-10,2.9800000190734863,3546091.9286966324,0,,False,False,False,False,False,False,False,False,True
CDXS,down,-0.2562814010146568,2026-07-24,1.4700000286102295,1763809.9422454834,4,"424B5,8-K,SCHEDULE 13G/A",True,True,False,False,False,False,True,True,False
CELC,down,-0.22218307414385408,2026-07-09,83.26000213623047,115795472.40142822,0,,False,False,False,False,False,False,False,False,True
CEPL,down,-0.3153846012770066,2026-07-22,7.119999885559082,3072183.9121818542,0,,False,False,False,False,False,False,False,False,True
CEVA,down,-0.25511734574020883,2026-07-22,29.84000015258789,27190317.874145508,0,,False,False,False,False,False,False,False,False,True
CHRN,up,0.28770095028401754,2026-07-15,18.520000457763672,7566450.0,3,"4,S-3/A,S-8",False,True,False,False,True,False,False,False,False
CHRN,down,-0.2061206149972029,2026-07-01,18.520000457763672,7566450.0,8,"3,4,8-K,8-K/A,8-K12B,S-3,SCHEDULE 13D/A",True,True,False,True,True,True,True,False,False
CIFR,up,0.4571106487213714,2026-07-16,17.690000534057617,531167814.47906494,2,"144,4",False,False,False,False,True,False,False,False,False
