ticker,cik,entity,revenue,concept,period,market_cap,as_of,rev_per_cap
NTIC,0000875582,NORTHERN TECHNOLOGIES INTERNATIONAL CORPORATION,84234474.0,Revenues,CY2025,75131696.9636178,2025-10-08,1.1211576126224085
NTIP,0001065078,"NETWORK-1 TECHNOLOGIES, INC.",150000.0,Revenues,CY2025,34189261.5,2025-11-02,0.004387342499340034
NTLA,0001652130,"INTELLIA THERAPEUTICS, INC.",67671000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1408391132.0351238,2025-10-29,0.04804844226916955
NTNX,0001618732,"NUTANIX, INC.",2537927000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,12848640129.52187,2025-11-29,0.1975249500660147
NTPIF,0000829365,Nam Tai Property Inc.,0.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,344964417.3682852,2025-03-31,0.0
NTR,0001725964,,,,,30677442931.89102,2021-03-31,
NTRA,0001604821,"NATERA, INC.",2306113000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,26519079208.85919,2025-10-30,0.08696052309499494
NTRB,0001676047,NUTRIBAND INC.,2036651.0,Revenues,CY2025,58008138.12592459,2025-12-07,0.03510974607698698
NTRP,0000788611,"NEXTTRIP, INC.",3715528.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,29189363.384493113,2025-10-12,0.12729047739266144
NTRR,0001512886,,,,,992085.6983283175,2024-03-14,
NTRS,0000073124,NORTHERN TRUST CORPORATION,5017800000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,26421588892.6989,2025-12-29,0.18991287845624505
NTST,0001798100,NETSTREIT Corp.,195006000.0,Revenues,CY2025,1587559458.1685715,2025-10-19,0.12283382458315065
NTTYY,0000769594,,,,,48066515906.151695,2017-06-29,
NTWK,0001039280,"NETSOL TECHNOLOGIES, INC.",66088229.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,35356620.0,2025-12-17,1.8691896736735583
NTZ,0000900391,,,,,270408642.54652023,2025-03-31,
NUAI,0002028336,"NEW ERA ENERGY & DIGITAL, INC.",885400.0,Revenues,CY2025,139510099.97687817,2025-11-09,0.00634649391081178
NUE,0000073309,NUCOR CORPORATION,32494000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,37329136009.17424,2026-01-02,0.8704728658068612
NUMD,0001543637,,,,,3951842.5622865297,2025-06-29,
NUS,0001021561,"NU SKIN ENTERPRISES, INC.",1485159000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,525665727.63543606,2025-10-30,2.825291667160008
NUTR,0002006468,,,,,169350012.0,2025-11-26,
NUTX,0001479681,NUTEX HEALTH INC.,875257000.0,Revenues,CY2025,677706883.0780792,2025-06-22,1.2914978759322426
NUVB,0001811063,NUVATION BIO INC.,62902000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1800354596.060009,2025-10-29,0.034938672713507694
NUVI,0001410708,,,,,110049996.61445618,2017-07-29,
NUVR,0000071557,"NUVERA COMMUNICATIONS, INC.",53504603.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,62584176.0,2025-11-12,0.8549222250685221
NUWE,0001506492,"NUWELLIS, INC.",8270000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,87829307.25471497,2025-11-06,0.0941599137975216
NVA,0001852551,,,,,3268221672.224572,2025-12-18,
NVAX,0001000694,"NOVAVAX, INC",1123479000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1361093403.6876822,2025-10-29,0.8254238812384947
NVCR,0001645113,NovoCure Limited,655353000.0,Revenues,CY2025,1568544008.8463688,2025-10-16,0.41780976262310826
NVCT,0001875558,,,,,169033467.3211441,2025-10-30,
NVDA,0001045810,NVIDIA CORP,215938000000.0,Revenues,CY2025,4389551985168.457,2025-11-20,0.04919363086019198
NVEC,0000724910,NVE CORP,26331218.0,Revenues,CY2025,284376993.56855774,2025-12-29,0.09259264495899545
NVGS,0001581804,NAVIGATOR HOLDINGS LTD.,586961000.0,Revenues,CY2025,923682724.000412,2025-03-31,0.6354573759460486
NVMI,0001109345,NOVA LTD.,880577000.0,Revenues,CY2025,5396887709.940353,2025-03-31,0.1631638543040452
NVNI,0001965143,,,,,73943575.5647614,2025-03-31,
NVNO,0001661053,,,,,485027967.8844032,2025-10-27,
NVR,0000906163,"NVR, Inc.",10323959000.0,Revenues,CY2025,21045140539.462402,2025-10-29,0.49056260663316653
NVS,0001114448,,,,,220182955997.28345,2025-03-31,
NVST,0001757073,ENVISTA HOLDINGS CORPORATION,2719500000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,3360194264.2920685,2025-10-23,0.8093282072704654
NVT,0001720635,nVent Electric plc,3893100000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,16661987477.701187,2025-12-29,0.23365159799874735
NVTS,0001821769,Navitas Semiconductor Corporation,45916000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,453140489.6687665,2024-10-31,0.10132839824921265
NVVE,0001836875,NUVVE HOLDING CORP.,4793942.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,2608371175.647354,2025-11-05,0.001837906370365492
NVX,0001859795,,,,,557156138.5486118,2025-03-31,
NWBI,0001471265,,,,,1713601174.7627363,2025-10-29,
NWBO,0001072379,NORTHWEST BIOTHERAPEUTICS INC,1378000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,355763034.20807636,2025-11-11,0.003873364761089946
NWE,0001993004,"NORTHWESTERN ENERGY GROUP, INC.",1610559000.0,Revenues,CY2025,3786743697.1357727,2025-10-23,0.42531502758377837
NWFL,0001013272,NORWOOD FINANCIAL CORP,7999000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,246080044.9235916,2025-10-30,0.03250568327262662
NWGL,0001948294,,,,,173477162.93256235,2025-03-31,
NWL,0000814453,NEWELL BRANDS INC.,7204000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,2087118007.9936981,2025-10-26,3.4516495820593542
NWN,0001733998,NORTHWEST NATURAL HOLDING COMPANY,1289363000.0,Revenues,CY2025,1936797132.2103767,2025-10-23,0.6657191806807922
NWPP,0001163389,"NEW PEOPLES BANKSHARES, INC.",3621000.0,RevenueFromContractWithCustomerIncludingAssessedTax,CY2025,73391018.41442943,2025-11-05,0.04933846236541765
NWPX,0001001385,"NWPX Infrastructure, Inc.",526003000.0,RevenueFromContractWithCustomerIncludingAssessedTax,CY2025,535114682.206131,2025-10-28,0.9829724683154534
NWTG,0001934245,"NEWTON GOLF COMPANY, INC.",8135000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,6177965.633889437,2025-11-06,1.3167765057440892
NX,0001423221,QUANEX BUILDING PRODUCTS CORPORATION,1837641000.0,Revenues,CY2025,594563822.2300625,2025-11-29,3.090738002032248
NXB,0002067767,Off the Hook YS Inc.,119866298.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,,,
NXDT,0001356115,NexPoint Diversified Real Estate Trust,85965000.0,Revenues,CY2025,133997500.88916245,2025-11-12,0.6415418155530148
NXE,0001698535,,,,,2555207297.605976,2025-03-31,
